fvp_executable,platform,npu,target_platform,target_subsystem,fm_version,timing_adapter,param_namespace,mac_candidate,fvp_init_result,in_vela_enumeration,classification
FVP_Corstone_SSE-310_Ethos-U65,SSE-310,ethos-u65,mps3,sse-310,11.24.13,TA_OFF,ethosu.num_macs,2048,REJECTED,0,NOT_SUPPORTED
FVP_Corstone_SSE-315,SSE-315,ethos-u65,mps4,sse-315,11.31.28,TA_OFF,mps4_board.subsystem.ethosu.num_macs,32,REJECTED,0,NOT_SUPPORTED
FVP_Corstone_SSE-315,SSE-315,ethos-u65,mps4,sse-315,11.31.28,TA_OFF,mps4_board.subsystem.ethosu.num_macs,64,REJECTED,0,NOT_SUPPORTED
FVP_Corstone_SSE-315,SSE-315,ethos-u65,mps4,sse-315,11.31.28,TA_OFF,mps4_board.subsystem.ethosu.num_macs,100,REJECTED,0,NOT_SUPPORTED
FVP_Corstone_SSE-315,SSE-315,ethos-u65,mps4,sse-315,11.31.28,TA_OFF,mps4_board.subsystem.ethosu.num_macs,128,REJECTED,0,NOT_SUPPORTED
FVP_Corstone_SSE-315,SSE-315,ethos-u65,mps4,sse-315,11.31.28,TA_OFF,mps4_board.subsystem.ethosu.num_macs,256,ACCEPTED,1,SUPPORTED
FVP_Corstone_SSE-315,SSE-315,ethos-u65,mps4,sse-315,11.31.28,TA_OFF,mps4_board.subsystem.ethosu.num_macs,512,ACCEPTED,1,SUPPORTED
FVP_Corstone_SSE-315,SSE-315,ethos-u65,mps4,sse-315,11.31.28,TA_OFF,mps4_board.subsystem.ethosu.num_macs,1024,REJECTED,0,NOT_SUPPORTED
FVP_Corstone_SSE-315,SSE-315,ethos-u65,mps4,sse-315,11.31.28,TA_OFF,mps4_board.subsystem.ethosu.num_macs,2048,REJECTED,0,NOT_SUPPORTED
FVP_Corstone_SSE-320,SSE-320,ethos-u85,mps4,sse-320,11.27.25,TA_ON,mps4_board.subsystem.ethosu.num_macs,32,REJECTED,0,NOT_SUPPORTED
FVP_Corstone_SSE-320,SSE-320,ethos-u85,mps4,sse-320,11.27.25,TA_ON,mps4_board.subsystem.ethosu.num_macs,64,REJECTED,0,NOT_SUPPORTED
FVP_Corstone_SSE-320,SSE-320,ethos-u85,mps4,sse-320,11.27.25,TA_ON,mps4_board.subsystem.ethosu.num_macs,100,REJECTED,0,NOT_SUPPORTED
FVP_Corstone_SSE-320,SSE-320,ethos-u85,mps4,sse-320,11.27.25,TA_ON,mps4_board.subsystem.ethosu.num_macs,128,ACCEPTED,1,SUPPORTED
FVP_Corstone_SSE-320,SSE-320,ethos-u85,mps4,sse-320,11.27.25,TA_ON,mps4_board.subsystem.ethosu.num_macs,256,ACCEPTED,1,SUPPORTED
FVP_Corstone_SSE-320,SSE-320,ethos-u85,mps4,sse-320,11.27.25,TA_ON,mps4_board.subsystem.ethosu.num_macs,512,ACCEPTED,1,SUPPORTED
FVP_Corstone_SSE-320,SSE-320,ethos-u85,mps4,sse-320,11.27.25,TA_ON,mps4_board.subsystem.ethosu.num_macs,1024,ACCEPTED,1,SUPPORTED
FVP_Corstone_SSE-320,SSE-320,ethos-u85,mps4,sse-320,11.27.25,TA_ON,mps4_board.subsystem.ethosu.num_macs,2048,ACCEPTED,1,SUPPORTED
